No.,Time,Source,Destination,Protocol,Length
139,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,159
140,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
141,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,78
142,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
143,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
144,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
145,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
146,2023-06-02 16:05:01.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,1035
147,2023-06-02 16:05:01.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
148,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
149,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,174
150,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,110
151,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
152,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,312
153,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
154,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,253
155,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,118
156,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,117
157,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,125
158,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
159,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
160,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
161,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
162,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
163,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
164,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,175
165,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
166,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,312
167,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,248
168,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
169,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,118
170,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,117
171,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
172,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,93
173,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
174,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,95
175,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,93
176,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
177,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,95
178,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,125
179,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
180,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,192
181,2023-06-02 16:05:02.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,186
182,2023-06-02 16:05:02.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,176
